Date,Adress,Size,Rooms,Broker,Rent,Price
20210222.0,Norra Stationsgatan 111,95.0,4.0,Erik Olsson Fastighetsförmedling,4298.0,8300000.0
20210220.0,Franzéngatan 77,91.5,4.0,Karlsson & Uddare AB,3373.0,8150000.0
20210219.0,Skeppstavägen 29,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516.0,4150000.0
20210219.0,Mariehällsvägen 16,91.8,4.0,Notar,5478.0,5650000.0
20210217.0,Fatburs Brunnsgata 18,94.0,4.0,HusmanHagberg Södermalm/Gamla Stan,4762.0,8200000.0
20210212.0,Lignagatan 7,92.0,4.0,Södermäklarna,3982.0,6800000.0
20210211.0,Johan Skyttes väg 187,94.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,4691.0,5550000.0
20210211.0,Ålgrytebacken 12,94.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,4299.0,4000000.0
20210211.0,Sköntorpsvägen 126,94.0,4.0,BOSthlm Årsta,5371.0,6800000.0
2021029.0,Astrakangatan 107,92.0,4.0,Blok,5381.0,2750000.0
2021027.0,Hårdvallsgatan 11,92.0,4.0,Notar,5360.0,8500000.0
2021026.0,Vintrosagatan 56 5tr,90.0,4.0,HusmanHagberg Huddinge,4694.0,2770000.0
2021025.0,Annedalsvägen 59,94.0,4.0,Svenska Mäklarhuset Bromma,4759.0,5500000.0
2021024.0,Sköntorpsvägen 124,94.0,4.0,BOSthlm Årsta,5371.0,5625000.0
2021023.0,Sköndalsvägen 116,92.5,4.0,Notar,4953.0,4250000.0
2021023.0,Piongränd 13,95.0,4.0,Mats Holmgren FB,5568.0,2695000.0
2021022.0,Jämtlandsgatan 88,90.0,4.0,SkandiaMäklarna Vällingby/Hässelby/Kista,5204.0,3000000.0
2021021.0,Ekehjelmstorget 8,91.0,4.0,HusmanHagberg Södermalm/Gamla Stan,2930.0,8500000.0
20210131.0,Nybergsgatan 8,90.0,4.0,Magnusson Mäkleri AB,4239.0,12600000.0
20210129.0,Beckomberga Ängsväg 39,91.0,4.0,Fastighetsbyrån Bromma,4800.0,4850000.0
20210129.0,Lillhagsvägen 22,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6344.0,3050000.0
20210129.0,Västmannagatan 13,91.0,4.0,HusmanHagberg Vasastan,4480.0,9300000.0
20210129.0,Norra Agnegatan 34 A,93.0,4.0,Widerlöv Stockholm,3612.0,10050000.0
20210127.0,Harplingegränd 76,95.0,4.0,SkandiaMäklarna Årsta,4823.0,3085000.0
20210127.0,Beckomberga Ängsväg 20,91.0,4.0,Svenska Mäklarhuset Bromma,4730.0,4695000.0
20210127.0,Grafikvägen 30,94.0,4.0,Erik Olsson Fastighetsförmedling,4770.0,6320000.0
20210127.0,Rådmansgatan 43,91.0,3.0,Mäklarhuset Stockholm Innerstan,2416.0,10100000.0
20210127.0,Åsögatan 122,94.0,4.0,Mäklarhuset Stockholm Innerstan,2176.0,9575000.0
20210125.0,Torsplan 8,90.0,4.0,MOHV Stockholm AB,5109.0,11300000.0
20210125.0,Högviltsgatan 10,91.0,4.0,Unik Fastighetsförmedling AB,5051.0,7400000.0
20210124.0,Torsgatan 41,92.0,4.0,Fastighetsbyrån Stockholm - Vasastan,3067.0,14500000.0
20210122.0,Gröndalsvägen 210,93.0,4.0,Notar,3802.0,7500000.0
20210122.0,Fredriksdalsgatan 11,93.5,4.0,BOSTHLM Fastighetsmäklare AB,4990.0,8300000.0
20210122.0,Johan Skyttes väg 374,94.0,4.0,BOSTHLM Älvsjö,5757.0,6250000.0
20210121.0,Gransätragränd 21,92.0,4.0,Notar,5242.0,3750000.0
20210121.0,Sturehillsvägen 9,91.0,4.0,BOSTHLM Älvsjö,4541.0,6650000.0
20210120.0,Erik Dahlbergsgatan 51,92.0,4.0,Fastighetsbyrån Stockholm – Östermalm,4159.0,9000000.0
20210120.0,Lämmelgränd 11,91.0,4.0,Bjurfors Bromma,4576.0,7280000.0
20210120.0,Sjöviksbacken 47,91.0,4.0,Mäklarhuset Stockholm Innerstan,5061.0,6650000.0
20210120.0,Sköntorpsvägen 124,94.0,4.0,BOSthlm Årsta,5371.0,6175000.0
20210118.0,Luftskeppsgatan 10,90.0,4.0,Fastighetsbyrån Enskede,6114.0,3600000.0
20210118.0,Settergatan 8,91.0,4.0,Notar,4697.0,9850000.0
20210117.0,Tyskbagargatan 14,92.0,3.0,Notar,4249.0,11050000.0
20210116.0,Solberga hagväg 13,94.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5195.0,4125000.0
20210115.0,Filipstadsbacken 50,91.0,4.0,Notar,4711.0,3265000.0
20210115.0,Johan Skyttes Väg 189,92.0,4.0,Svenska Mäklarhuset Älvsjö/Bandhagen,4618.0,4850000.0
20210114.0,Högbergsgatan 72,91.0,4.0,Historiska Hem,3680.0,9330000.0
20210114.0,Filipstadsbacken 56,91.0,4.0,HusmanHagberg Farsta,5718.0,2900000.0
20210113.0,Frövigatan 12,90.0,4.0,SkandiaMäklarna Älvsjö,5078.0,2690000.0
20210113.0,Förlandagränd 28,95.0,4.0,Mäklarhuset Hammarbyhöjden,4743.0,3200000.0
20210112.0,Götgatan 118,94.0,4.0,Bjurfors Södermalm,4006.0,6960000.0
20210112.0,Edagränd 14,93.0,4.0,Svenska Mäklarhuset Farsta,5295.0,4300000.0
20210111.0,Badstrandsvägen 6,93.0,3.0,Wallin & Co AB,4219.0,8900000.0
2021017.0,P O Hallmans Gata 1,93.0,4.0,Mäklarhuset Stockholm Innerstan,5374.0,7100000.0
20201222.0,Valhallavägen 73,95.0,3.0,BlumenthalHoffman Fastighetsmäkleri,5747.0,11500000.0
20201218.0,Majrovägen 37,93.0,4.0,Fastighetsbyrån Enskede,5986.0,4500000.0
20201217.0,Sandhamnsgatan 75F,90.0,4.0,Unik Fastighetsförmedling AB,4144.0,9100000.0
20201216.0,Lignagatan 7,92.0,4.0,Fastighetsbyrån Stockholm - Södermalm,4096.0,7300000.0
20201216.0,Öregrundsgatan 18,94.7,4.0,Notar,4433.0,6800000.0
20201216.0,Styrmansgatan 17 A,94.0,4.0,Wrede Fastighetsmäkleri,2453.0,12100000.0
20201214.0,Fyrvaktarkroken 70,92.5,4.0,HusmanHagberg Enskede,5335.0,5850000.0
20201213.0,Storängsgatan 17,90.0,4.0,Fastighetsbyrån Stockholm – Norra Djurgårdsstaden,4450.0,8500000.0
20201210.0,Folkparksvägen 182,91.5,4.0,SkandiaMäklarna Älvsjö,4874.0,4650000.0
20201210.0,Lustigkullavägen 7,91.5,4.0,Fastighetsbyrån Hägersten/Älvsjö,4717.0,6000000.0
20201210.0,Pargasgatan 11,93.0,4.0,Lagerlöfs,5016.0,2750000.0
2020129.0,Ringvägen 41 B,91.0,4.0,Fastighetsbyrån Stockholm - Södermalm,4261.0,7500000.0
2020129.0,Solberga ängsväg 5A,92.5,4.0,BOSTHLM Älvsjö,5585.0,4000000.0
2020129.0,Sköntorpsvägen 128,94.0,4.0,BOSthlm Årsta,5371.0,5860000.0
