Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm,PricePerRoom
20210121.0,Sturehillsvägen 9,91.0,4.0,BOSTHLM Älvsjö,4541.0,6650000.0,179.0,59.30371757612586,18.03062438964844,73077.0,1662500.0
20210120.0,Lämmelgränd 11,91.0,4.0,Bjurfors Bromma,4576.0,7280000.0,34.0,59.33525006879975,17.960586547851562,80000.0,1820000.0
20210120.0,Sjöviksbacken 47,91.0,4.0,Mäklarhuset Stockholm Innerstan,5061.0,6650000.0,182.0,59.30371757612586,18.029937744140625,73077.0,1662500.0
20210120.0,Sköntorpsvägen 124,94.0,4.0,BOSthlm Årsta,5371.0,6175000.0,290.0,59.30196491325117,18.05328369140625,65691.0,1543750.0
20210118.0,Luftskeppsgatan 10,90.0,4.0,Fastighetsbyrån Enskede,6114.0,3600000.0,15.0,59.26478720448004,18.134994506835934,40000.0,900000.0
20210116.0,Solberga hagväg 13,94.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5195.0,4125000.0,32.0,59.280575153750675,18.008651733398438,43883.0,1031250.0
20210115.0,Filipstadsbacken 50,91.0,4.0,Notar,4711.0,3265000.0,27.0,59.23810649022235,18.10409545898437,35879.0,816250.0
20210115.0,Johan Skyttes Väg 189,92.0,4.0,Svenska Mäklarhuset Älvsjö/Bandhagen,4618.0,4850000.0,27.0,59.27847051670478,18.007965087890625,52717.0,1212500.0
20210114.0,Filipstadsbacken 56,91.0,4.0,HusmanHagberg Farsta,5718.0,2900000.0,27.0,59.237755288974256,18.104782104492188,31868.0,725000.0
20210113.0,Frövigatan 12,90.0,4.0,SkandiaMäklarna Älvsjö,5078.0,2690000.0,21.0,59.265138127315424,18.01826477050781,29889.0,672500.0
20210113.0,Förlandagränd 28,95.0,4.0,Mäklarhuset Hammarbyhöjden,4743.0,3200000.0,41.0,59.2907457322538,18.034744262695312,33684.0,800000.0
20210112.0,Götgatan 118,94.0,4.0,Bjurfors Södermalm,4006.0,6960000.0,867.0,59.30792359859034,18.073883056640625,74043.0,1740000.0
20210112.0,Edagränd 14,93.0,4.0,Svenska Mäklarhuset Farsta,5295.0,4300000.0,36.0,59.23916007226682,18.098602294921875,46237.0,1075000.0
2021017.0,P O Hallmans Gata 1,93.0,4.0,Mäklarhuset Stockholm Innerstan,5374.0,7100000.0,777.0,59.33525006879975,18.03955078125,76344.0,1775000.0
20201218.0,Majrovägen 37,93.0,4.0,Fastighetsbyrån Enskede,5986.0,4500000.0,33.0,59.2605758484914,18.076629638671875,48387.0,1125000.0
20201216.0,Lignagatan 7,92.0,4.0,Fastighetsbyrån Stockholm - Södermalm,4096.0,7300000.0,394.0,59.31528288641451,18.03749084472656,79348.0,1825000.0
20201216.0,Öregrundsgatan 18,94.7,4.0,Notar,4433.0,6800000.0,92.0,59.344704113820974,18.112335205078125,71806.0,1700000.0
